id_coleta,posto,bairro,endereco,bandeira,combustivel,data_coleta,preco
126,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-07-20,6.970
127,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-07-28,6.970
128,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-08-03,6.970
129,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-08-12,6.970
130,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-08-19,6.970
131,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-08-26,6.970
132,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Branca,Etanol,2026-01-14,4.690
133,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-01-27,4.990
134,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-02-04,4.990
135,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-02-09,4.990
136,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-02-16,4.990
137,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-02-24,4.990
138,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-03-03,4.990
139,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-03-12,5.190
140,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-03-17,5.190
141,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-05-05,5.090
142,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-05-12,5.090
143,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-05-20,5.090
144,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-05-26,4.990
145,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-06-01,4.990
146,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-06-08,4.990
147,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-06-17,4.990
148,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-06-23,4.990
149,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-06-30,4.990
150,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-07-15,4.970
151,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-07-20,4.970
152,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-07-28,4.970
153,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-08-03,4.970
154,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-08-12,4.970
155,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-08-19,4.970
